Index,Open,High,Low,Close,Volume
2073/2/21,282,284.5,281,283.5,13084
2073/2/22,284,287,282.75,286,14965
2073/2/23,286.75,292.5,283,291.75,30787
2073/2/24,291.5,293.5,288,289.25,24034
2073/2/25,287.5,288.75,285.5,288.25,13726
2073/2/26,288.75,290,282.5,284.25,21804
2073/2/27,284,288.75,282.25,288,23090
2073/2/28,288,289.5,285.25,285.75,21961
2073/3/1,285.75,292,284.25,289,20305
2073/3/2,289,289,284,287.5,15393
2073/3/3,288,288,283,285.5,48
2073/3/4,286,286,281,281.25,122
2073/3/5,281,282,279,280.25,12569
2073/3/6,281.25,282,277.5,280.75,67
2073/3/7,275.25,277,267,267.5,23017
2073/3/8,268,268.75,261,262.75,28296
2073/3/9,263.25,266.5,261.5,265.75,12533
2073/3/10,265.75,267,260.5,266,18876
2073/3/11,267,269,265.75,266.75,9650
2073/3/12,267,273,266,270.75,19434
2073/3/13,270.75,276.5,268.5,275.5,21582
2073/3/14,276,277,273.5,274.5,15317
2073/3/15,274.25,275,268.25,270.75,18750
2073/3/16,270.75,271,265.5,266.25,15232
2073/3/17,266,267.5,261.5,263.5,18231
2073/3/18,264,270,262.5,269.5,16752
2073/3/19,269.75,274.25,269.5,272.75,19492
2073/3/20,273,273.5,271,273.25,10961
2073/3/21,272,276,270,274.25,15788
2073/3/22,275,280.5,273.75,279,29596
2073/3/23,279,282,277.5,279.25,20395
2073/3/24,279.25,279.75,271.5,276.25,23994
2073/3/25,275.5,276.25,271.5,273.5,12079
2073/3/26,274,278.5,273.25,277.75,14735
2073/3/27,278.5,285,274,284.75,29498
2073/3/28,281.5,287,281.5,285.5,16425
2073/3/29,286,287,282.5,283.75,12931
2073/3/30,285.25,290,280.5,289,25889
2073/3/31,290,295.5,289.25,295,29333
2073/4/1,295,295,289.25,291.25,13204
2073/4/2,291,297,290,295.5,19475
2073/4/3,295.5,297,291.5,293.25,78
2073/4/4,291.5,292.75,288,288.75,18041
2073/4/5,288.25,289.5,285,285.5,13631
2073/4/6,285.25,285.25,281.5,284.25,166
2073/4/7,284.5,287,283.5,285.5,11371
2073/4/8,286,288.5,285.75,287,70
2073/4/9,287,288.5,283,283.75,82
2073/4/10,283.5,287,281,286,16748
2073/4/11,283,283,277,278,25431
2073/4/12,278,281.75,277.25,280.75,14113
2073/4/13,280,290,277.75,289.25,24208
2073/4/14,297,298.5,294.5,297.25,118
2073/4/15,297,298,293.5,295,5701
2073/4/16,295,298,294.5,295.5,5787
2073/4/17,296.5,299,283,285.75,28665
2073/4/18,285.5,288,282,286.25,24884
2073/4/19,286,287,281.5,282,23113
2073/4/20,282.25,284.5,281,281.75,31
2073/4/21,282,290.5,282,289.5,22378
2073/4/22,290,290.5,285,287.25,14822
2073/4/23,286.75,288.5,283.5,283.75,13517
2073/4/24,283.75,285.5,281.25,285.25,12142
2073/4/25,285.25,285.75,281.5,281.75,101
2073/4/26,282,285,277,284,22784
2073/4/27,285.25,287.5,281.5,283.5,79
2073/4/28,283.25,287,281,286.75,12714
2073/4/29,285.75,289,285,285.75,15330
2073/4/30,286,294.5,284.25,293,34567
2073/5/1,293.25,294,287,287.5,17061
2073/5/2,287.5,291,286.5,288.75,230
2073/5/3,289,289,283,284.5,14037
2073/5/4,285,291.5,285,291,170
2073/5/5,291,293.5,288,290.25,9537
2073/5/6,289.75,291,288,289,54
2073/5/7,290.5,292.5,288.5,292,11518
2073/5/8,292.75,301.5,291,300,14
2073/5/9,300,309,299.5,307,253
2073/5/10,307,309,303,304.75,24431
2073/5/11,305,306,301.5,305,14080
2073/5/12,304.75,307,301.5,302.75,200
2073/5/13,303.75,307.5,301,303.5,21447
2073/5/14,304,311,300.5,308.25,33732
2073/5/15,308.75,313.25,306,306.75,24052
2073/5/16,306.5,307,301.5,302,101
2073/5/17,301,304,298,303.5,22929
2073/5/18,304,305.75,297.5,300.75,21987
2073/5/19,301,302,297.5,298,10127
2073/5/20,299.5,299.5,294,295.25,17845
2073/5/21,295,298,293.5,297,15309
2073/5/22,296.5,299.75,294.5,298.5,16564
2073/5/23,299,300,295.25,299,17254
2073/5/24,298,298.5,291,291.25,19967
2073/5/25,291.25,293.75,288.5,289.5,20597
2073/5/26,290,290.5,283.75,285.25,28081
2073/5/27,284,288.25,283.5,286,15682
2073/5/28,286.75,288.25,285,287,10066
2073/5/29,288,289.5,280,280.75,68
2073/5/30,280.75,285,278.5,283,23146
2073/5/31,284,284.75,280,280.25,60
2073/6/1,280.25,284.5,279,281,13862
2073/6/2,282,287,278.5,281.75,11741
2073/6/3,282,282.5,279,281,10656
2073/6/4,281,282.5,280,280.75,8771
2073/6/5,281.25,283.5,279.75,282.25,13876
2073/6/6,280.5,280.5,280.5,280.5,8597
2073/6/7,280.75,281,274.5,275.25,22806
2073/6/8,276.5,278.5,275.75,277.75,12265
2073/6/9,284,285.75,282.25,285.5,9443
2073/6/10,278,282,276,281.5,14551
2073/6/11,282,283.5,277,277.25,13135
2073/6/12,277.25,284.25,276.5,282,19067
2073/6/13,283.25,285.25,281.5,281.75,6883
2073/6/14,281,285.5,280.25,283.75,8892
2073/6/15,284,288.25,284,287.25,13634
2073/6/16,287.25,295,286.5,294.25,20576
2073/6/17,294,297,280,285,34309
2073/6/18,285.5,287,284,285.25,9634
2073/6/19,286.5,289,283,283.25,12825
2073/6/20,283.25,286.25,281.25,283.5,13446
2073/6/21,284,285.5,280,280.5,13827
2073/6/22,280.25,280.5,276.5,277.25,12301
2073/6/23,277.5,277.5,272.25,273,14114
2073/6/24,273.5,274.5,270,270.25,11071
2073/6/25,270.25,274,269.5,272.5,11015
2073/6/26,272.5,273.5,269.75,271.25,6405
2073/6/27,272,275,267,272.5,10224
2073/6/28,274,275,271,271.75,6425
2073/6/29,272.75,275.75,271.5,275,6386
2073/6/30,282.25,285.75,279,282.5,19105
2073/7/1,282.5,283.25,274.5,275.5,16321
2073/7/2,276,277,272.5,274.25,16698
2073/7/3,274.25,276,271.5,272.75,10288
2073/7/4,273.5,274.75,270,272.25,13458
2073/7/5,272.5,273.75,270,270.5,18968
2073/7/6,270.5,273,268,268.25,15955
2073/7/7,268.25,269.75,266,266.5,14445
2073/7/8,266.5,268.75,264.5,265,20926
2073/7/9,266.25,269.5,265.25,268.75,13370
2073/7/10,269.25,274,268,273.75,15487
2073/7/11,274,274.5,265.75,266.5,15496
2073/7/12,267,269.5,266,268.5,7497
2073/7/13,268.5,272.5,267.5,271.5,15857
2073/7/14,272,276,271.25,273.5,16304
2073/7/15,273.5,275.5,270.5,272.25,10579
2073/7/16,272.25,274.5,271.75,272.75,10406
2073/7/17,274.25,276.25,269.5,271.5,17676
2073/7/18,273,280,273,278.75,19508
2073/7/19,278.25,280.75,276.75,278.5,15893
2073/7/20,278.75,284,277.5,283.5,19952
2073/7/21,283.5,284,275,276.5,20053
2073/7/22,276.75,277.5,273,273.75,11490
2073/7/23,273.25,278.25,271.75,276.75,13708
2073/7/24,277.25,278,272.25,273,12134
2073/7/25,272.75,273.75,268.5,269,16645
2073/7/26,269,272.5,267.5,271.5,12920
2073/7/27,272.5,272.5,268,269.25,9238
2073/7/28,268.5,273.5,268,272,12143
2073/7/29,272.25,277,270.5,276.25,13679
2073/7/30,276.25,277.5,272,276.5,14242
2073/7/31,277.5,283,276.5,282.25,26957
2073/8/1,282,288,279.5,286.75,32487
2073/8/2,286.75,290,281.5,282,30207
2073/8/3,282,284.5,280.25,283.25,12978
2073/8/4,283,285,279.5,280.5,12125
2073/8/5,279.5,281,274,275,21084
2073/8/6,274,279,272.5,278.25,19382
2073/8/7,278.25,281,276.5,279.5,15302
2073/8/8,289.5,291.5,287.5,289.25,13331
2073/8/9,296.25,299.5,296.25,298,5759
2073/8/10,298,301,298,298.5,7020
2073/8/11,298.25,299,295,295.25,7065
2073/8/12,296.25,303,296.25,299.75,12260
2073/8/13,298.25,301.5,296,299.75,12416
2073/8/14,299,302,296.5,301,13885
2073/8/15,302,316,299.5,314,21452
2073/8/16,312.5,315,308,313,15533
2073/8/17,312,325,311.5,322.5,13696
2073/8/18,324,327,320,320.5,17669
2073/8/19,320,322.5,316,322,9146
2073/8/20,322,322,316.5,317,7528
2073/8/21,317.25,326,317.25,320.5,8818
2073/8/22,319.5,325,316,324.75,8285
2073/8/23,324,331.75,321,323.25,15915
2073/8/24,323.5,325,318,318.25,8361
2073/8/25,318.5,328,318.5,323.75,8186
2073/8/26,327,335,325.75,334,9233
2073/8/27,334,336,331,335,9954
2073/8/28,334.25,337,331.25,333.25,7329
2073/8/29,332,332.5,326,330.75,9779
2073/8/30,333.5,343,333.5,339.75,6976
2073/8/31,340,342,332,332.75,7388
2073/9/1,332.5,338,332.5,336,4786
2073/9/2,336,337.25,330,335,5764
2073/9/3,334.5,336.75,333,335,7163
2073/9/4,332,332.75,324.75,326.5,6726
2073/9/5,328.25,328.25,321.75,326,9264
2073/9/6,328,335.5,328,334,6906
2073/9/7,335,347.25,333.5,334.75,8623
2073/9/8,334.75,338.75,334.75,337,4054
2073/9/9,334.5,339.5,331,338,7288
2073/9/10,339.5,344.5,338.5,341.75,8730
2073/9/11,341.75,347,340.5,346.25,7167
2073/9/12,345.75,350,337,338.5,9629
2073/9/13,340,346,334,344.5,8633
2073/9/14,349.75,363,347.25,351.75,9830
2073/9/15,350,360,350,356.75,6829
2073/9/16,356,361,355.5,357,6100
2073/9/17,356.5,360,350,350.5,8799
2073/9/18,361,365,355,361,16880
2073/9/19,362,362,350.5,351,22647
2073/9/20,351,354.5,345.5,349.5,21400
2073/9/21,352.5,353,344.5,351,20605
2073/9/22,352,360,349.5,359,23467
2073/9/23,359,367.5,359,365.25,21043
2073/9/24,365,369.5,361,364.5,18864
2073/9/25,364,369.5,363.75,366,16574
2073/9/26,366,368.5,363.5,364,18025
2073/9/27,371,379,371,374.25,13789
2073/9/28,375.25,386.5,373.5,386.25,22145
2073/9/29,383.75,394,383.5,393,34196
2073/9/30,393.5,411,392.5,410,38406
2073/10/1,410,440,410,422,41374
2073/10/2,424,431.25,408,416,34386
2073/10/3,401.5,406,397.5,405.25,20053
2073/10/4,405,419,405,413,27428
2073/10/5,413,418,395,395.5,36496
2073/10/6,395,405.5,391,400,26892
2073/10/7,401,402.75,388.5,389.5,23373
2073/10/8,390,404,383.5,403.5,25177
2073/10/9,407,408,388,391,33608
2073/10/10,391.25,404,391,402.25,16573
2073/10/11,403.5,405.5,396,402.5,16234
2073/10/12,405,413,395,396.5,25815
2073/10/13,397.25,401.5,390,396.5,18933
2073/10/14,397,401.5,382.5,383.5,23978
2073/10/15,384.5,385.5,372.5,374.75,29779
2073/10/16,375,381,370.5,376.25,18147
2073/10/17,378,385,376,381.75,13473
2073/10/18,382.5,385.5,381,381.75,5958
2073/10/19,382.75,383,371.5,372.25,13613
2073/10/20,371.25,374,365.25,365.75,19250
2073/10/21,366,373,360.5,365.5,19529
2073/10/22,364,393.25,363,393.25,33862
2073/10/23,399.75,410,397,408.25,36256
2073/10/24,409.25,414,401,406,30237
2073/10/25,406.25,414,403.5,413,15424
2073/10/26,413.5,416.75,407.5,408.75,16412
2073/10/27,406.5,409,402.5,403.75,11955
2073/10/28,403.75,406,396,396.5,16142
2073/10/29,398,412.5,395,411.75,24485
2073/10/30,411.5,413,404,410.5,12898
2073/10/31,409.5,418,409.5,415.5,13910
2073/11/1,416.5,419,397,415.75,29209
2073/11/2,417.5,418.75,405,406.75,16475
2073/11/3,407,409.75,401.5,402.25,15344
2073/11/4,403,417,403,413.5,17610
2073/11/5,412.25,416,407,408.25,12180
2073/11/6,409,410.25,400,400.75,16150
2073/11/7,400.5,400.75,394,394.5,15848
2073/11/8,395,400,388,397,22022
2073/11/9,396.5,398,382,382.5,26450
2073/11/10,387.5,398.5,374,374.5,31318
2073/11/11,376,384,369,381,21444
2073/11/12,380,392,380,391.25,14738
2073/11/13,391.5,393.5,384.5,389.75,14059
2073/11/14,389.75,390.75,377,382.25,13854
2073/11/15,377.25,382,370.5,380.5,11120
2073/11/16,381.75,382,370.25,373.5,12124
2073/11/17,373.75,377.5,368,374.5,15631
2073/11/18,372.5,379,372,376,12115
2073/11/19,375.25,384,374,383.5,15866
2073/11/20,383,385.5,376.5,379,17486
2073/11/21,378.25,385,378,383.75,11617
2073/11/22,380,385,373.5,376.25,16798
2073/11/23,376.25,377,359.5,360.25,27618
2073/11/24,361,364,358.5,361.75,16023
2073/11/25,362.75,362.75,351.5,353,25064
2073/11/26,353.5,361,351.5,357.75,15921
2073/11/27,358.25,359,352,357.5,7674
2073/11/28,357.25,358.25,348.5,349.5,18383
2073/11/29,361,364,351.5,356,13261
2073/11/30,355.75,358,350,350.25,9836
2073/12/1,350.25,350.25,340.5,342.75,22787
2073/12/2,342.75,347,340,345.75,8220
2073/12/3,338.25,345,336.5,338.25,13209
2073/12/4,338,340.5,332,333,13273
2073/12/5,334,334.75,325,329,11053
2073/12/6,329,332,321,325,16338
2073/12/7,325.75,331.5,320,328.75,16528
2073/12/8,329,332.5,326,330.5,16394
2073/12/9,329.75,334.5,328.75,331.5,9078
2073/12/10,331.25,333,326,327.75,11070
2073/12/11,331,339,331,337,18817
2073/12/12,336.5,338.75,327.25,329,19679
2073/12/13,329.75,330.5,318,319.25,19183
2073/12/14,320,321,308.5,311.25,17702
2073/12/15,311.25,315.5,308,314.25,13528
2073/12/16,314.75,315,309,312.75,12555
2073/12/17,312,315.5,310.25,311,7913
2073/12/18,319,324.25,314,314.5,19003
2073/12/19,314,316,309.25,311.75,11815
2073/12/20,311.75,319,310,318.5,11269
2073/12/21,319,322.75,309,310.5,16018
2073/12/22,310.5,319,310,317,11514
2073/12/23,317.5,318.5,310.25,313,11481
2073/12/24,314,315.5,309,315,9916
2073/12/25,315,326.5,315,320.5,22671
2073/12/26,320.5,324.5,319,323.5,10189
2073/12/27,324,325.5,321.5,324,9485
2073/12/28,323.5,328.5,320,324,14919
2073/12/29,324,327.5,322.5,327,9026
2073/12/30,328,334.5,327.75,331,18016
2073/12/31,332.25,337.75,330.25,334.75,17258
2074/1/1,333.5,335.75,327,330,18921
2074/1/2,329,332.25,325,325.5,11498
2074/1/3,325.75,328.5,323.5,326.5,10082
2074/1/4,326.5,335,325.5,334.25,15653
2074/1/5,334.75,338,332.75,335.5,11002
2074/1/6,335,337,325.25,327.75,17716
2074/1/7,327.25,334.5,324.5,331.75,4913
2074/1/8,333,333.5,328.5,329.5,4888
2074/1/9,328,329,320.5,323.5,9499
2074/1/10,323.5,326.5,320.5,321,8970
2074/1/11,321,323,318.5,320,10934
2074/1/12,319.5,321,309,310,15807
2074/1/13,310,314.5,309.5,310.25,12442
2074/1/14,296,297.5,285.5,286,8241
2074/1/15,285.5,287.75,280,281,7618
2074/1/16,282,283.5,279.5,281,3727
2074/1/17,283,286,280,284.25,4142
2074/1/18,284,287.5,283,283.5,3822
2074/1/19,283.5,285.5,277.5,279.25,6115
2074/1/20,279.25,288.5,278,286.75,10078
2074/1/21,286.75,288,282.5,283,6163
2074/1/22,284,288.5,283.5,287.5,5744
2074/1/23,287,288,280,281.5,4539
2074/1/24,282.5,286,282.5,285,3456
2074/1/25,286.5,291,286,290.25,8397
2074/1/26,290,290,283,283.5,7791
2074/1/27,284.25,288.5,283.75,287,7079
2074/1/28,286.5,290,282,285.5,8012
2074/1/29,286.25,287.5,282,284.25,6877
2074/1/30,284,285.5,278.5,280.75,4776
2074/1/31,281,286.75,280.75,286,6211
2074/2/1,286,286,280,281.75,5797
2074/2/2,285.25,291,285,289.75,11537
2074/2/3,289.75,293.5,285.5,293.25,14096
2074/2/4,293,295.5,289,289.75,18361
2074/2/5,289.5,294.75,288.25,293,17871
2074/2/6,294.25,296.5,289.5,290.5,16451
2074/2/7,290.5,291,285.5,289.5,16080
2074/2/8,289.5,289.5,282.5,283,19754
2074/2/9,283.5,284,279.5,282.25,17703
2074/2/10,282.75,286.5,280.5,282.75,17588
2074/2/11,282.5,284,279,281.75,13061
2074/2/12,281.75,284.5,280.5,283.75,6895
2074/2/13,284.5,289,283.5,288.75,14595
2074/2/14,288.75,294,286.5,293,19387
2074/2/15,293.75,302.5,293,301.75,32097
2074/2/16,301.75,304.5,296.5,298.5,24801
2074/2/17,298.5,322,298,321,41293
2074/2/18,317,337,316.25,331,60495
2074/2/19,330,333,325.5,331.25,19504
2074/2/20,331,334,325,329.25,20714
2074/2/21,328.5,339.5,327.5,338.75,24436
2074/2/22,338,345.75,337,338.5,26289
2074/2/23,337,341.5,327,328.5,32246
2074/2/24,327,341,326.5,335,26729
2074/2/25,333.25,337,329.25,332.25,12630
2074/2/26,332,332.5,324,325.5,21849
2074/2/27,325.5,325.75,320,322.75,16361
2074/2/28,321,329,317.25,327.5,25374
2074/3/1,327,329.5,317.5,319,22105
2074/3/2,318.5,326,316,324,15745
2074/3/3,324,329,320.5,324.25,17597
2074/3/4,325,328.5,317,318.75,23919
2074/3/5,318.75,323,318.25,319.5,12977
2074/3/6,319.5,323,312.5,313.5,24625
2074/3/7,314,324.5,311,320.5,23552
2074/3/8,320,322.75,318.25,320.5,16911
2074/3/9,320.5,328.25,319.5,327.25,18332
2074/3/10,327,338,326.5,333.75,24643
2074/3/11,316,322,313,316.75,16217
2074/3/12,325,327,322.5,324.25,4919
2074/3/13,324,326.5,321,322.75,4406
2074/3/14,321.25,321.5,317.5,319.5,8839
2074/3/15,318.5,318.5,311.5,313.25,12340
2074/3/16,313,315,308,309.25,17404
2074/3/17,308,310.5,306.5,308.5,12648
2074/3/18,308.75,312.5,306,306.5,14178
2074/3/19,307,308.5,303.5,304.25,14420
